Interval,Count
235,1
236,1
237,2
238,6
239,27
240,36
241,57
242,69
243,73
244,91
245,103
246,107
247,147
248,157
249,159
250,270
251,160
252,165
253,160
254,151
255,155
256,152
257,125
258,100
259,108
260,103
261,77
262,57
263,43
264,60
265,28
266,40
267,27
268,17
269,23
270,13
271,12
272,6
273,2
274,4
275,3
276,7
277,4
278,3
280,5
282,1
285,2
286,1
288,1
292,1
302,1
313,1
